Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
6.916808181,3.29,48392.49736,1211102.211
7.429639244,3.11,32934.5532,658646.1847
7.805903702,3.36,37082.37422,1400104.871
6.020201205,4,42488.31,1262017.792
6.194794325,2.15,39063.33871,553077.2126
7.259286709,3.08,46375.50249,1203247.89
7.831766476,6.18,32078.9068,1115323.015
7.090050637,5.25,24748.26827,1301881.417
5.521216371,4.47,27714.29366,1006687.387
7.235191288,5.21,19045.61951,749383.0726
6.290305888,4.15,27789.74852,1075596.587
6.624951289,4.37,24797.76476,739870.7936
8.003006746,3.49,44723.35373,1442945.145
6.356258719,3.14,29594.69337,828497.0671
7.879588245,6.37,32629.60383,1373290.861
6.396268006,3.18,24833.64615,925566.3313
7.636653827,6.49,18408.79864,1552536.764
6.68823017,2.04,43284.39716,1335904.501
6.375371505,3.28,29390.21727,960808.2911
7.166501646,6.28,35148.66775,1405933.019
6.144038119,3.04,19903.00008,619087.6936
6.888205629,2.09,53811.89491,1329273.228
4.936329009,3.44,42779.8313,1261843.844
6.029160867,4.29,46340.18858,1175781.418
6.183440077,3.01,35630.56045,1437053.557
8.197289421,6.21,36616.16883,1594415.226
5.370386614,2.07,37360.06356,931357.9954
6.566175293,3.14,45979.47754,798639.6542
5.905024344,2.08,30487.52462,1451739.625
7.293476754,5.33,43869.30998,1278991.689
7.325379539,4.24,31294.65246,885920.5532
6.923618932,4.33,40290.91149,1425632.542
6.94910892,3.06,11792.81516,901881.7427
9.054709888,5.25,23684.78795,1521730.791
5.929733805,2.4,41972.77154,716771.0057
8.437966416,5.37,56957.18775,1696717.107
6.851535828,2.49,39512.66371,819598.0078
8.522538378,3.49,37242.56159,1584213.957
5.678555483,4.44,16906.42172,798892.515
8.942797164,5.12,39633.47304,601973.0017
9.524973612,4.28,30760.99496,1456486.293
6.844150153,2.17,69575.44946,1702406.039
7.94387972,6.3,33102.09542,1566471.008
7.737095684,4.02,41105.39063,1592210.176
5.790005274,4.21,51925.41161,937628.3467
6.294054951,3.45,48026.30837,1558547.578
6.964616002,2.29,32158.9679,1156329.274
7.833081192,3.35,34609.04022,1514349.692
7.163517523,5.25,25134.68148,1039107.326
5.355113624,2.32,43119.54066,809089.6719
5.501755138,3.23,15660.40301,675536.3915
9.710216896,5.02,16215.41728,1373589.804
8.204552838,4.3,60195.74627,1690091.019
7.114083652,5.38,35597.37289,1253370.149
5.736029404,2.03,24153.88252,774073.5619
7.719652764,6.37,45335.36028,1741959.834
6.828247305,2.09,50305.79541,1705762.788
6.060884656,2.34,33203.38392,1071109.917
6.936548024,4.49,29499.04095,1118047.991
7.648386114,6.08,41723.05474,1165253.033
6.765832563,2.31,35642.53034,1280910.19
5.687062576,2.02,40675.77383,841122.8824
7.057757992,4.19,37642.78527,1228810.745
8.051118256,5.28,35336.06305,1086072.071
6.768229399,3.33,34162.67061,1204372.295
6.361238405,3.35,43269.03337,1345004.12
7.162322376,3.32,45152.01427,1116902.345
7.015317326,3.12,37650.86971,822431.7303
8.365074594,4.47,28394.60978,1360623.694
7.373850919,3.01,54861.0911,2298379.487
7.883780977,3.41,45633.19224,1400498.268
6.032795265,2.04,20702.80267,566848.7321
7.541807496,5.08,58691.20066,1367586.278
7.088385883,5.13,26396.29111,1113373.52
6.275371125,3.42,35131.57815,721974.5515
6.325363471,4.25,40367.38387,685503.9903
7.6171181,5.07,16349.36539,152071.8747
7.002864274,5.38,34317.53831,1280431.574
7.207172822,6.35,23649.96887,568703.1838
8.933119985,6,38943.09599,1200764.844
7.552269769,6.15,41662.00007,1607161.637
7.234479887,5.45,30101.72457,1421715.415
4.954387464,2.03,33534.9264,311111.2006
7.472966963,4.19,38448.49148,1338044.383
6.16923837,3.43,44020.1441,1417870.983
8.259044318,3.4,28424.95165,796389.438
5.336841156,3.44,15753.26664,1310207.133
5.579766055,4.3,24852.56515,994897.7278
7.265462684,5.46,13998.57121,1202987.829
5.648555397,3.08,40087.79561,768751.9005
6.036621215,2.27,37374.91924,1211655.305
6.633757595,4.21,23974.43557,1540418.222
5.428846667,3.23,42182.86211,712228.4243
6.630909086,3.17,33336.32735,1525533.407
5.518835024,2.04,37578.84687,1034218.402
6.333616932,2.04,39287.5279,874103.6606
8.274063584,4.19,47602.51021,1912825.285
7.887775836,4.31,42248.68586,1754770.59
6.876150329,4.23,25736.09605,1340066.913
5.783612779,3.11,55830.75284,1446756.863
7.570447111,5.48,36769.24968,1592768.242
7.641107312,6.08,14054.05343,660364.9813
6.332626733,2.46,33426.84938,861321.5807
8.184510518,6.35,34321.96015,1648246.774
6.952195766,2.04,31995.52529,977135.8857
9.086807717,3.21,33196.05984,1591934.19
5.564352875,4.12,33831.89363,695386.331
4.807387458,2.26,33547.98482,568977.0728
7.201635799,5.13,23978.0933,935590.8043
8.960742515,5.2,41855.65474,984311.7745
6.868603895,2.3,61830.53972,1796245.808
5.186852796,4.07,18057.17178,720080.2321
5.807401479,4.03,42495.75468,783808.4025
8.297556745,3.16,30386.36631,1598615.974
7.979877824,5.11,39146.9205,1564125.238
7.285434147,3.46,35192.84403,929480.6299
8.965705366,6.22,25897.75802,1414495.343
7.482571479,6.08,29697.64481,837668.1026
6.249192235,4.02,26814.17475,1197515.454
7.058764828,4.26,51405.35248,1232004.83
7.316551003,4.36,47688.2266,1285933.408
7.698007536,4.41,30971.15711,1361521.983
5.652694477,2.21,35990.10339,1090826.374
7.447318296,3.37,41620.2893,1475319.699
5.464338971,4.22,22721.6494,1066659.383
8.018121333,3.43,21641.97286,1117432.98
6.829667441,2.29,31739.88912,1420283.559
6.891969493,3.24,172.6106863,840272.8649
4.651974294,2.46,30904.25303,1024907.94
9.02450267,5.12,40335.22028,1494241.226
6.650904529,4.37,43994.24411,1125880.487
7.879677057,4.28,30762.36021,1082455.018
6.974804487,3.08,40564.64489,1554634.995
7.650205974,6.09,41104.46662,1011365.365
7.337589917,6.33,21245.84162,1432756.517
8.430787826,4.32,31773.3374,1612717.553
5.493294013,4.2,25981.831,973299.8618
6.462700239,4.21,21658.40932,679228.9927
8.467599729,6.03,28880.01759,1270999.939
7.375559651,4.42,36360.16875,910211.0189
7.191572627,4.43,40890.26603,1026271.796
6.916338174,4.05,39555.07059,1496729.536
7.8515296,5.27,33771.74049,1490539.058
8.245224408,5.4,28470.70147,1491838.494
8.971111959,3.11,18092.13036,996771.2482
4.679134254,2.03,35834.493,1064854.309
6.534959524,4.05,32339.00628,985749.7874
9.442325018,4.35,35174.87134,1952622.402
6.207145314,3.02,40447.01075,1754969.162
6.979752379,3.23,42601.84262,1122240.364
5.967832307,3.23,32074.57599,1236931.728
6.350156836,4.47,10424.41625,966084.4204
5.012885306,4.4,39662.74187,852268.6717
6.252757358,2,30097.83559,1280669.873
5.74843726,3.36,50566.6448,1190213.513
7.282106847,4.2,28742.12595,1123851.141
7.826124971,3.12,32016.23476,1689120.427
8.343557927,3.49,45504.20369,1573347.788
8.33708535,3.34,43152.13958,1696977.663
5.450658517,2.27,32383.55544,1414286.724
6.649447661,2.27,49337.53152,755292.1144
6.048295389,2.31,21397.4486,714706.4289
6.667365547,4.09,9487.921585,944001.5583
6.908829672,3.01,31231.5444,1523136.485
6.647662431,3.33,23182.60485,1422916.811
7.00842733,6.11,39683.438,1945618.658
6.509449186,2.48,69553.98833,1726719.067
7.524542188,5.17,43204.15762,1051123.833
7.234261404,5,45161.18768,2249122.541
8.599555446,4.48,44115.98342,1523915.145
6.981984299,3,29981.34654,1039517.534
7.162535697,3.47,19560.01241,818057.8953
7.285225482,4.43,43364.42819,1115466.585
6.9812466,2.46,29568.95886,1258178.804
8.441119043,3.31,37998.99693,1435423.708
5.810942512,3.49,34711.78242,1153470.44
5.197253905,2.07,22367.48207,1425603.495
7.863188943,4.5,28139.36846,1048350.692
6.333920562,3.41,24758.48906,1214482.379
6.860860394,2.15,24056.60447,821859.0657
6.798805806,4.44,24233.06146,753652.2718
7.332769653,6.12,40043.10216,1220001.334
7.706580735,5.41,15255.23776,1075675.108
7.392675062,3.1,24837.59073,1396082.352
7.320562834,6.03,18867.78162,1137801.933
6.232295865,2.19,43146.98202,1159953.593
7.736294493,5.07,26481.51177,1487849.876
5.538058083,3.5,32045.55987,1103072.439
7.425903425,3.48,26202.63146,897291.1153
7.027355369,3.26,20653.89831,1214320.574
8.065659921,5.28,37268.26997,1364363.375
7.282521302,3.21,30231.80829,1249092.928
5.014916517,2.47,52657.03375,946479.2349
6.010742815,2.27,44016.14744,1659805.184
7.21840033,4.46,39075.95638,1285399.565
4.9673884,4.17,29802.32138,898281.9025
7.037477117,5.04,27545.52954,1483848.169
6.22497133,2.36,39754.38814,1353488.416
7.24149204,5.11,31719.74264,1268703.811
7.33029276,6.14,26013.68048,1448573.845
5.881851885,3.49,35091.95553,1343605.8
5.740479724,4.21,32766.60197,1511537.745
7.691535725,3.31,40643.07833,1662038.759
8.017692368,3.23,38128.9837,1166673.195
7.472849853,6.39,41780.47369,1375633.373
7.063683439,4.16,47731.01076,839638.461
7.661280263,3.1,34487.57476,1638265.395
8.219394258,5.15,40163.97083,1385400.456
7.204458615,3.36,35589.59472,1153233.241
7.958894134,5.28,43300.95464,1370178.474
6.938908153,2.02,36851.38401,1181877.183
6.23461464,4.23,42789.69222,894251.0686
7.935510756,5.15,37865.64855,1421135.815
5.630525332,4.04,38440.73729,1028964.474
7.655452911,3.2,25904.97991,923508.1257
8.366505984,6.34,32679.18766,1599634.465
8.20329527,5.26,24721.95904,1369186.07
6.629940742,4.16,46851.04219,1748782.809
8.308603108,4.07,25509.06978,1150877.735
8.971411852,5.49,40785.0273,1110598.755
7.168189941,4.21,38682.56933,1159207.085
7.421920927,3.02,49864.46977,1811377.221
8.48252252,4.18,25222.46242,1267443.398
5.360885834,3.22,40512.81685,1352547.693
5.497449839,2.29,44901.85734,599504.0193
6.264975083,4.19,23999.75522,717213.2688
5.810728687,3.43,36391.92539,1008712.575
5.49031182,3.25,36377.83735,1071596.112
6.60035835,4.46,36913.35067,1397341.856
7.109924045,6.45,31054.77532,1313304.588
8.423788158,3.01,41662.08363,2106510.863
7.111526404,3.44,31756.40564,1306458.906
6.404905702,3.29,59485.06632,1354928.95
8.56260323,4.49,39785.62784,1582765.592
6.464112096,3.44,46520.69219,847155.0413
7.124916623,4.13,32026.91225,1342245.969
7.681342023,4.16,42702.40328,1363086.905
7.035171036,6.4,54167.34162,1275318.562
7.10931161,3.11,49639.17324,1285923.734
7.25760419,3.38,51453.26516,1789607.526
6.287424348,2.15,31638.85497,1196064.33
6.133645727,3.1,51470.06764,1917583.999
6.147313624,4.39,30091.11684,1370274.387
8.459144706,3.07,45160.10161,1677204.246
5.780350789,2.37,41796.12563,1439714.281
7.138233914,3.32,21759.50613,1012262.712
9.069530122,3.37,51712.14409,1511743.129
7.188679025,4.42,34141.18824,1131154.518
7.420949611,4.47,25767.8186,764860.4627
6.261276083,2.29,44682.75733,1681316.362
6.485365977,3.17,25120.99203,291724.2456
7.105746768,3.13,28666.77112,1013252.209
7.526834227,4.28,54130.97595,1194709.628
7.992009255,4.25,38180.82233,1463003.056
9.152072899,6.5,24723.27865,1453327.916
6.744617688,3.2,28067.63161,1291506.386
7.380798426,6.29,51154.13258,1625508.013
7.266027597,5.49,24125.87581,566896.2123
8.045728241,4.14,36655.12894,1468513.244
8.837002372,3.12,44385.31241,1573105.981
7.522948688,5.18,49076.75735,968360.5234
6.725864179,3.19,38022.8382,1309985.887
4.994689786,4.26,35220.38316,1361219.3
8.791775366,6.14,36495.17095,1465120.47
7.80646322,5.4,46677.2744,1571464.965
8.672978876,5.41,45889.89049,1629098.182
7.175189117,5.18,36998.47979,1182335.68
5.761669848,3.2,35039.46939,1010813.709
6.449025947,3.3,24942.88585,924728.5374
7.884325909,3.28,41467.86766,1382110.278
8.599781516,3.32,27404.50027,1366727.663
6.618398933,4.02,32875.76905,1297849.764
7.270138268,6.47,31202.18742,1196687.687
6.896793461,4.12,32311.85324,1281113.315
7.031799423,5.36,51746.72764,1530729.578
7.153039164,6.2,29423.82757,1208664.863
7.447127443,5.2,29860.07831,1417275.667
7.311134732,6.13,42996.60608,1195601.962
9.708803015,5.19,37223.87617,2469065.594
7.502115314,3.38,43322.16685,1223100.542
5.042575354,2.27,43072.19661,1220276.551
6.285246737,3.09,42744.82854,1311765.141
8.527952465,6.29,28410.30375,1198313.598
6.029203977,3.19,32058.35624,1187609.122
6.808878929,2.2,32157.13169,1399662.584
8.869466561,4.23,36239.55617,1597776.771
7.186177831,4.22,42258.53738,1355022.283
7.626799142,5.47,22431.60626,1137059.188
8.002542521,3.04,34573.11218,1053815.097
7.698764603,4.48,19835.24732,1242421.532
7.794364246,3.11,36129.69101,1222041.016
6.766129639,2.17,42018.93857,1025461.134
7.839552495,4.26,36009.70034,859427.9793
7.267597143,5.01,37741.35882,1279803.95
5.637279177,4.13,23876.13221,1671669.452
7.13254045,3.08,26630.48373,1525601.791
7.906105021,4.27,31470.61746,998773.9973
6.641306834,4.22,20317.21375,1012321.574
7.937358365,3.12,45357.00431,1252419.196
7.349121497,6.39,47812.01849,1869313.107
6.764442872,3.23,45281.18657,1800685.922
7.289358525,6.43,47747.3639,1393100.423
6.368791728,4.29,39456.87209,1166558.374
7.481091173,5.49,36326.69694,988175.0074
7.199332031,4.41,30108.24133,1540480.613
5.57526046,3.05,33763.08394,866142.1839
6.346327564,2.41,29365.60761,557362.2043
6.974340367,4.47,28851.6014,1033290.975
5.987896444,3.44,47445.35917,1084945.4
3.236194023,3.42,50233.79031,1365081.178
5.227988168,4.12,34933.19629,1239459.815
7.203915755,4.17,37854.37345,2056692.768
6.431430338,3.4,25296.73583,1045395.329
6.083928892,2.31,47897.15663,1679204.741
7.336340464,5.39,34312.41251,1158742.83
7.630184981,6.06,13340.49243,1647278.685
8.583309247,5.24,49974.87944,1702090.635
7.110696223,3.21,28280.9992,1379386.383
9.462719992,4.04,23733.79424,1358526.741
6.299807262,3.13,32964.01822,991398.8219
6.458296196,4.42,27373.15328,957117.6472
5.64536314,3.38,42758.66645,1638969.269
6.050791519,2.15,18226.17943,714142.2407
4.458940625,2.21,13345.56449,760876.0222
6.699021847,2.05,45887.34562,1343537.178
6.470649695,2.27,40325.17418,1056993.649
6.66750525,4.5,16654.26131,1088222.421
7.889947558,3.01,44071.60463,1308983.632
9.166350403,3.46,36678.06362,1548322.501
7.756919908,4.41,39842.86297,1411749.107
6.654884952,4.17,34671.59841,1601904.357
7.474265068,4.31,37764.36224,1277297.483
6.914308887,3.31,28112.16904,1061552.022
6.8242861,3.01,40080.6906,1115013.147
7.483565029,3.02,34684.09713,1020842.531
6.703125019,4.3,31352.40923,1440961.857
6.41017391,2.45,33533.91966,817377.311
6.807331848,2.47,22887.72189,1381536.934
8.675574518,3.46,38259.2238,1273067.036
7.009803231,6.31,20795.15006,1376714.674
6.699206813,2.08,37937.1943,1293746.876
7.378950007,3.46,34063.60356,1750908.224
5.1947819,3.3,35043.81895,555811.4067
7.146514915,5.44,35426.69013,1578829.012
6.337285588,3.22,27865.33079,911202.1683
7.719301234,5.18,37030.72731,1628751.935
6.867242299,2.11,41837.85872,1245400.955
6.363084014,2.13,24647.90591,993725.2172
8.621772096,4.08,56299.7726,1816099.138
8.756044656,4.07,33107.34283,1570583.34
7.531227671,4.05,43636.50449,1626321.321
6.912506242,2.29,42046.3404,1262494.287
5.856581441,3.08,40656.12969,1185226.617
6.105858132,3.1,31638.22991,1360329.359
7.758415332,3.37,54677.97282,1350459.116
6.913134346,2.22,48036.61012,1556987.724
7.783690871,4.17,37730.00709,886036.1295
7.579479162,6.4,27940.28442,1129613.01
7.12451931,3.32,19262.61425,1070240.02
7.205733258,3.48,37997.54792,1587015.357
8.182415082,3.26,25548.51424,1146321.581
7.991329323,5.41,17862.7275,1377447.349
5.903083907,3.06,40817.89,1113570.852
6.222862551,2.16,51145.32062,1593836.785
8.509775274,6.1,55577.96645,1560746.866
6.565375468,2.26,41416.97915,977980.9211
6.747509818,2.41,43345.60758,1292592.392
8.504044902,5.24,33263.14435,1458912.584
6.132714372,2.49,29572.38924,1037780.48
7.498418863,6.24,33379.6764,1792254.818
6.906695715,2.1,38408.27206,882170.3184
7.351397521,5.45,36950.73906,1883481.075
6.231167774,3.06,38568.07963,1268600.361
7.572943157,3.17,20097.1385,1157189.438
6.873655818,4.12,45266.52944,1180989.324
8.493990921,3.29,39219.52988,1813043.926
6.240884739,2.04,52718.24234,866666.0554
8.05074733,6.12,43771.64636,1671350.14
7.543276404,6,23637.25637,1137467.586
5.070184059,4.24,37511.33915,711499.2446
6.119832859,2.14,52358.79317,1940195.374
9.410156957,4.18,43558.8253,1496466.357
8.205980045,3.16,32295.76549,1448995.115
6.075797822,4.02,29668.87669,924271.7911
7.060329951,6.11,37994.97385,1747004.583
8.301310137,4.05,39347.13568,1576286.214
6.506991389,4.39,37295.99683,1712280.706
7.340614471,4,49250.7059,1852375.507
6.084508514,4.38,18257.14925,1007596.043
6.795504431,4.42,31159.28871,1034779.19
6.40694457,4.45,28922.95889,1006544.527
6.393980784,2.33,33083.43471,736798.5333
6.677087285,3.32,22619.11464,1109006.287
7.75175405,5.17,27809.13508,1384140.227
8.848999368,3.15,52469.76545,2084883.79
6.767455055,4.42,32210.42844,801194.6198
5.877785179,3.06,58256.11476,1412242.755
7.506903351,4.14,43272.31005,1890789.177
7.438630683,5.24,34880.77042,1841904.243
7.131393662,6.31,26952.55681,1467075.169
6.708809212,3.37,24734.40652,661043.3565
6.282827422,3.21,28846.95052,978035.3448
8.424079331,4.01,33572.74697,1250882.292
5.87583185,3.33,43313.16512,1409238.798
6.415893843,3.42,36768.63393,1162746.621
7.043611453,6.44,23249.82461,878862.7457
7.091345492,3.29,49175.33938,1338424.788
7.404870424,5.13,45033.389,1094347.968
6.900568875,4.07,27024.98663,1195897.741
8.105671724,5.05,40115.76381,1050239.904
7.053927147,5.12,36481.32775,914231.2923
6.35862933,3.35,20667.90293,864483.7585
6.539985895,3.1,51614.83014,1599478.986
6.920409265,4.38,35681.15262,1336356.233
7.301723912,5.07,29269.13734,1808341.466
7.219763304,3.27,35193.2115,1424283.373
6.645553737,3.47,40952.01693,1471799.676
7.103157515,4.15,28300.6076,1347622.483
7.61216851,5.1,23580.86919,1163741.658
6.332676905,2.28,28884.04164,1450624.524
6.014092419,3.12,25896.99089,982298.0366
8.500956441,5.28,34141.83201,868314.4736
7.391411758,4.08,27247.95256,1231511.931
6.449323694,4.34,16668.26686,663128.8401
6.194613051,3.17,46821.31972,1210496.625
6.88291844,2.06,25127.54884,1409033.071
7.206177863,5.32,57408.31289,1356384.668
5.722587426,4.06,28928.91819,1125476.202
6.749401542,4.01,22987.66824,1129975.817
7.487692924,6.35,36205.14863,1003642.627
7.460134655,4.28,37816.3377,1306367.811
7.43854426,6.43,33433.33877,1775874.76
6.08764965,3.42,29803.17135,1036685.241
6.573968615,2,49601.23864,1869929.202
6.80432412,2.49,42013.7324,1381085.729
7.595486546,6.21,45519.25627,2252243.34
6.474248437,3,13704.35075,787039.6447
7.78061454,6.02,28805.35549,957283.6564
5.842130449,2.49,43818.67866,1173695.292
4.807452587,3.4,43683.30256,1713161.699
6.511808719,3.04,41870.90839,1325503.454
7.562436938,3.27,44237.12104,1501497.532
6.229360043,2.06,33847.01451,1573580.234
5.768682534,4,30884.45099,693566.7573
5.988527098,4.49,37047.88256,1524586.787
5.569340161,3.17,42785.08178,1048818.21
6.673256383,4.21,38858.87649,1310764.112
7.40360063,5.05,54228.0749,1537329.57
